"ID","odpoved","spravna","ID otázky","volba"
350,"POP3 (příjem/čtení e-mailových zpráv)",NEPRAVDA,"01-08","c"
351,"HTTP (přenos webových stránek)",NEPRAVDA,"01-08","d"
352,"Přidělování čitelných jmen IP adresám (DNS)",NEPRAVDA,"01-08","e"
353,"Řádek 01",NEPRAVDA,"02-08","a"
354,"Řádek 03",NEPRAVDA,"02-08","b"
355,"Řádek 04",NEPRAVDA,"02-08","c"
356,"Řádek 05",PRAVDA,"02-08","d"
357,"Řádek 06",NEPRAVDA,"02-08","e"
358,"Řádek 08",NEPRAVDA,"02-08","f"
359,"Buňky v libovolné tabulce, které mají nastaven atribut id=""seznam""",NEPRAVDA,"03-08","e"
360,"Buňky v libovolné tabulce, které mají nastaven atribut class=""seznam""",PRAVDA,"03-08","b"
361,"Buňky tabulek, obsažených v číslovaných (<ol>) a nečíslovaných <ul> seznamech",NEPRAVDA,"03-08","c"
362,"Všechny buňky tabulky, která má nastaven atributem id=""seznam""",NEPRAVDA,"03-08","d"
363,"Všechny buňky tabulky, která má nastaven atributem class=""seznam""",NEPRAVDA,"03-08","a"
364,"Metoda GET neumožňuje odesílat data na server",NEPRAVDA,"04-07","b"
365,"Metoda POST neumožňuje odesílat data na server",NEPRAVDA,"04-07","a"
366,"Metodou GET jsou data odesílána jako parametry v URL, metodou POST v těle HTTP požadavku",PRAVDA,"04-07","d"
367,"Metodou POST jsou data odesílána jako parametry v URL, metodou GET v těle HTTP požadavku",NEPRAVDA,"04-07","c"
368,"Mezi oběma metodami není v tomto ohledu rozdíl",NEPRAVDA,"04-07","e"
369,"ap = Airport.new",PRAVDA,"05-07","c"
370,"ap.reload!",NEPRAVDA,"05-07","a"
371,"ap = Airport.build_empty_instance",NEPRAVDA,"05-07","d"
372,"ap = Airport",NEPRAVDA,"05-07","b"
373,"ap.reload",NEPRAVDA,"05-07","e"
374,"depends_on :boarding_pass",NEPRAVDA,"06-07","a"
375,"one_to_one :airticket_item, :boarding_pass",NEPRAVDA,"06-07","c"
376,"has_many :boarding_pass",NEPRAVDA,"06-07","b"
377,"has_one :boarding_pass",PRAVDA,"06-07","e"
378,"belongs_to :boarding_pass",NEPRAVDA,"06-07","d"
379,"if @airport.save",PRAVDA,"07-08","d"
380,"@airport.seats.times do",NEPRAVDA,"07-08","a"
381,"unless @airport.save",NEPRAVDA,"07-08","c"
382,"if @airport.create",NEPRAVDA,"07-08","b"
383,"5-krát",PRAVDA,"10-06","a"
384,"Ani jednou",NEPRAVDA,"10-06","b"
385,"Dojde k chybě za běhu (chybná syntaxe)",NEPRAVDA,"10-06","c"
386,"4-krát",NEPRAVDA,"10-06","d"
387,"6-krát",NEPRAVDA,"10-06","e"
